dates;log Q simule;P simule
2017-11-28;17,53826387;0,485224708
2017-11-29;17,53877024;0,484221332
2017-11-30;17,54668634;0,48322003
2017-12-01;17,62025377;0,4822208
2017-12-02;17,62025377;0,477924912
2017-12-03;17,63276522;0,480228532
2017-12-04;17,68657537;0,479235487
2017-12-05;17,69433951;0,478244496
2017-12-06;17,86490232;0,477255554
2017-12-07;18,14544364;0,476268657
2017-12-08;18,20767467;0,4752838
2017-12-09;18,20767467;0,41877316
2017-12-10;18,20767467;0,409761211
2017-12-11;18,20767467;0,456112341
2017-12-12;18,24268319;0,471364698
2017-12-13;18,24268319;0,444581092
2017-12-14;18,24268319;0,454634746
2017-12-15;18,27694496;0,468446593
2017-12-16;18,34904052;0,467477912
2017-12-17;18,34904052;0,454531431
2017-12-18;18,34904052;0,461257064
2017-12-19;18,35937098;0,464583869
2017-12-20;18,40192457;0,463623175
2017-12-21;18,4400515;0,462664468
2017-12-22;18,4400515;0,433533064
2017-12-23;18,4400515;0,414381707
2017-12-24;18,4400515;0,361153318
2017-12-25;18,4400515;0,346076801
2017-12-26;18,4400515;0,391615315
2017-12-27;18,4400515;0,380768908
2017-12-28;18,4400515;0,362214107
2017-12-29;18,4400515;0,35176541
2017-12-30;18,4400515;0,315935871
2017-12-31;18,4400515;0,310166159
2018-01-01;18,4400515;0,293794114
2018-01-02;18,4400515;0,339280028
2018-01-03;18,4400515;0,369268305
2018-01-04;18,4400515;0,366718831
2018-01-05;18,4400515;0,416346157
2018-01-06;18,4400515;0,402574798
2018-01-07;18,4400515;0,382402537
2018-01-08;18,4400515;0,352760114
2018-01-09;18,4400515;0,34849002
2018-01-10;18,4400515;0,35415223
2018-01-11;18,4400515;0,302398847
2018-01-12;18,4400515;0,311551717
2018-01-13;18,4400515;0,321575
2018-01-14;18,4400515;0,301411938
2018-01-15;18,4400515;0,305110306
2018-01-16;18,4400515;0,261470767
2018-01-17;18,4400515;0,260306354
2018-01-18;18,4400515;0,258962936
2018-01-19;18,4400515;0,25173653
2018-01-20;18,4400515;0,268741809
2018-01-21;18,4400515;0,233315228
2018-01-22;18,4400515;0,218841233
2018-01-23;18,4400515;0,216108073
2018-01-24;18,4400515;0,227189162
2018-01-25;18,4400515;0,218611915
2018-01-26;18,4400515;0,216925132
2018-01-27;18,4400515;0,218655789
2018-01-28;18,4400515;0,222701507
2018-01-29;18,4400515;0,212518251
2018-01-30;18,4400515;0,190769315
2018-01-31;18,4400515;0,199393318
2018-02-01;18,4400515;0,176923333
2018-02-02;18,4400515;0,176210491
2018-02-03;18,4400515;0,174968999
2018-02-04;18,4400515;0,151763646
2018-02-05;18,4400515;0,131241659
2018-02-06;18,4400515;0,146457119
2018-02-07;18,4400515;0,143235232
2018-02-08;18,4400515;0,153239702
2018-02-09;18,4400515;0,161449832
2018-02-10;18,4400515;0,158568523
2018-02-11;18,4400515;0,147165046
2018-02-12;18,4400515;0,162264661
2018-02-13;18,4400515;0,15538089
2018-02-14;18,4400515;0,172096335
2018-02-15;18,4400515;0,183758095
